flight_id vertical speed track all 
2KYCM_3248 False False False False 
9AJIM_19708 False False False False 
9HMBJ_19536 False False False False 
A7AAH_071 False False False False 
ACA878_20924 False False False False 
ACA878_20929 False False False False 
AEA1671_470 True False False False 
AEA1671_478 False False False False 
AEA1671_481 False False False False 
AEA1671_493 False False False False 
AEA1671_502 False False False False 
AEA1671_503 False False False False 
AEA67TT_439 True False False False 
AEE448_4416 False False False False 
AEE448_4473 False False False False 
AEE482_4422 False False False False 
AEE5SZ_4445 False False False False 
AEE5SZ_4467 False False False False 
AFL2390_3085 False False False False 
AFL2392_3039 False False False False 
AFL2392_3044 False False False False 
AFL2392_3049 False False False False 
AFL2392_3064 False False False False 
AFL2392_3077 True True True True 
AFL2392_3086 False False False False 
AFL2392_3087 False False False False 
AFL2392_3088 False False False False 
AFL2392_3089 False False False False 
AFL2392_3091 False False False False 
AFL2392_3094 False False False False 
AFL2392_3095 False False False False 
AFL2392_3108 False False False False 
AFL2392_3110 False False False False 
AFL2392_3126 False False False False 
AFL2392_3128 False False False False 
AFL2392_3129 False False False False 
AFL2392_3136 False False False False 
AFL2392_3152 False False False False 
AFL2392_3153 False False False False 
AFL2392_3158 False False False False 
AFL2392_3160 False False False False 
AFL2392_3161 False False False False 
AFL2392_3171 False False False False 
AFL2392_3173 False False False False 
AFL2392_3177 False False False False 
AFL2392_3178 False False False False 
AFL2486_3134 False False False False 
AFR141G_830 False False False False 
AFR141G_833 False False False False 
AFR141G_846 False False False False 
AFR141G_847 False False False False 
AFR141G_848 False False False False 
AFR141G_856 False False False False 
AFR141G_857 False True False False 
AFR141G_858 False False False False 
AFR141G_859 False False False False 
AFR141G_885 False False False False 
AFR141G_894 False False False False 
AFR141G_896 False True False False 
AFR141G_901 False False False False 
AFR141G_902 False False False False 
AFR141G_914 False False False False 
AFR141G_933 False False False False 
AFR141G_934 False False False False 
AFR141G_948 False False False False 
AFR141G_949 False False False False 
AFR141G_950 False False False False 
AFR141G_951 False False False False 
AFR141G_973 False False False False 
AFR141G_974 False False False False 
AFR141W_766 False False False False 
AFR141W_769 False False False False 
AFR141W_825 False False False False 
AFR141W_826 False False False False 
AFR141W_834 False False False False 
AFR141W_835 False False False False 
AFR141W_836 False False False False 
AFR141W_849 False False False False 
AFR141W_861 False False False False 
AFR141W_862 False False False False 
AFR141W_872 False False False False 
AFR141W_874 False False False False 
AFR141W_875 False False False False 
AFR141W_886 False False False False 
AFR141W_887 False False False False 
AFR141W_903 False False False False 
AFR141W_904 False False False False 
AFR141W_915 False False False False 
AFR141W_916 False False False False 
AFR141W_935 False False False False 
AFR141W_936 False False False False 
AFR141W_954 False False False False 
AFR141W_967 False False False False 
AFR141W_968 False True False False 
AFR141W_976 False False False False 
AFR27HR_752 False False False False 
AFR27HR_813 False False True False 
AFR35RX_824 False False False False 
AFR35RX_898 False False False False 
AFR35RX_922 False False False False 
AFR35RX_960 False False False False 
AFR61GR_759 False False False False 
AFR61GR_802 False False False False 
AFR78TE_845 False False False False 
AFR78TE_883 False False False False 
AHO218B_2203 False False False False 
AHO219Q_2256 False False False False 
AHO224T_2248 False False False False 
AHO253Q_2204 False False False False 
AHO412L_2194 False False False False 
AHO760H_1006 False False True False 
AHO824P_1938 False False False False 
AHO870D_1025 True False True False 
AMB466_2228 False False False False 
AMC490_19369 False False False False 
AMC490_19375 False False False False 
AMC490_19379 False False False False 
AMC490_19392 False False False False 
AMC490_19403 False False False False 
AMC490_19549 False False False False 
AOJ29L_4000 False False False False 
AOJ80P_3640 False False False False 
ASJ966_1000 False False False False 
ASL11C_18928 False False False False 
ASL11C_18947 False False False False 
ASL11C_18955 False False False False 
ASL11C_18961 False False False False 
ASL11C_18987 False False False False 
ASL11C_19008 False False False False 
ASL11C_19018 False False False False 
ASL11C_19026 False False False False 
ASL44Q_18916 False False False False 
ASL63T_18927 False False False False 
ASL63T_18981 False False False False 
AUA2708_3928 False False False False 
